file,start,end,patches
00a35487938ae2cbf5d4d14f82000a6acf5b1d975fb25493897c844ec0cae876.npz,1284408,6747632,"[[2191784, 2193144], [3895760, 3896888], [4354944, 4357472]]"
00307f565e66c44469d73fef0ed2786f3be0a2970ef1007efacc3cdce9e7b175.npz,11464,6900800,"[[3643172, 3646967]]"
027556e8c36e3c2ef69450b38439bccc8d8e9f63505db6f200fcc344234f9161.npz,0,5965200,[]
00d376510f5e57f8eee2937fff0b46672d2e63e5bc4b24f3c1c8d8384c0b3649.npz,18408,5017960,[]
024625c5d9edf5f4c8b6bd3c1de9e46a0dc46f106b8007f65d79c128ed579c95.npz,389692,5727632,[]
00591d4399ccf2aff324e03664b818c2a2b21899b96316317af07d843d6b1335.npz,565592,7389400,[]
038b153c2c289e16011991c1417276ff035d74d51444ce05265a7bf7cd90953f.npz,450592,8188520,"[[2953440, 2955528], [3682598, 3737361]]"
027f1882b231dc40fb2bdc4a1f3dc3be99a4aef7f216b4e78b7fd409453fd872.npz,10680,6344000,"[[3098131, 3177286]]"
0306bd6f64d947d0095f37b4f4327f666c0bdb77e91dce98d39cb7c8f7cccd2b.npz,1486843,8127152,"[[4859977, 4939972]]"
030708574203ec64d0e44a89cee73f8cc322068258b29e376fd49882b8d709dd.npz,1511776,7611592,[]
03a82c3735bc1660b03f251d07e04bbc5a455257bb51be85186f430e44ae4181.npz,13216,4976592,"[[2230251, 2336650]]"
03b58c0a20e2545933cdecaeb981cfa39f1da97a79b600e94478d75981ad6baa.npz,621848,4984000,"[[2681209, 2729571], [3721493, 3778321]]"
04838cdba5bbf75d849ff4e2a57336d3b9941543e05c04338bee4abf2b5d9d73.npz,21824,4894800,[]
047afff62a7e143c3c819c7591b39033e9194ebbe7beb162bcded5faad431a16.npz,288332,5202800,"[[1527962, 1576558], [3391136, 3392352]]"
0497b07df66133cea993476d5e1e4e8a45e01c2c92f57d9fe3c8020378b14a64.npz,0,5234600,[]
03cba9b76a97b7077046db717ee4755c1b10bae8daef84da7be083514cbf08a9.npz,448160,5398976,[]
04d65bcf235f1215131ed9d7f98585770ab1cff54671e8e154ddeb441fd67a0f.npz,8912,5052888,[]
04c13c21196abfffba0de02cfd52723901a021c4e39db1c75128e5e90a3f8efe.npz,613216,5197512,"[[4246806, 4296847]]"
03f2956b4bf0e27866cd32d04c7faeca7c430170e120f163401570944ac05f3e.npz,69904,5462784,[]
03c501e235c641f1fcf7bd95a3d660cdf839f9767bd196472fe7d73ff3800576.npz,1564232,6452368,"[[2243119, 2273871], [2303432, 2306088], [3159728, 3195186]]"
04dd6c0b9eecdf9b777f4c4e6f332c0b49e3b7b094e1997edb151244cb989285.npz,826624,5478400,[]
05315fecc4f756ee8621fd7ed1d2f5068cd387d56f3e28a7eeee0abeaa44ad33.npz,9408,5384000,[]
054e3b324232239441a744aea5ec7ca4dae1f97a4a1c82a169ea66a9c9784eb9.npz,40232,5159400,"[[2050840, 2135426]]"
04df73c96122897118fe3a925fdfdce7371ef10665001efce87fc94bc3057436.npz,1404773,5627784,"[[1411896, 1413312]]"
04f6f2de65b85acf57da476c39628de63c823c5edc442a9140b061fc694092a1.npz,0,5754200,[]
0535f3c0572e33f8fb7052cdd7b89c87175f6eda6a8951fb13486a130263d662.npz,0,5301616,"[[1540409, 1599753]]"
05312074e99d02f5d808c0a6ce10c5b5e55169173a8b430aa8e7fc79eece4967.npz,85008,5441928,"[[1441035, 1502671], [1531914, 1533330], [1595680, 1597736], [1654856, 1656528]]"
04d577a39d1127e2f061573bbb2e9f763552703b4cb2bd2fd21ba9ff2e7ea40c.npz,132793,5798160,"[[1868008, 1869776], [2376792, 2439693]]"
0464cc879560407828f625946fbd42476bdc5253de7f366709b6a41700fb686c.npz,889749,6823380,"[[2931375, 2939898], [2988341, 2993346], [2995387, 2996862], [3118510, 3120313], [3885315, 3887400], [6005823, 6011353], [6059942, 6061278]]"
048e8cd1a0e74359ea966ec3f37d4458062ad48b8a0b5e603d8f506dbe30c12f.npz,1583016,6986200,"[[6460231, 6512287]]"
04f6f6b34764f776bab50002d366e0cc381b68f86089946bcf9b2ea0f30401aa.npz,1072861,6014550,[]
04d486a81507e671ef76dfe2125e66b48242464350c782a4f5895ebabd29db2e.npz,10160,6137376,[]
0584bc804646c9d42254769b999540b7ea090a2f0fd7080d9a90efda788ab0b7.npz,717840,4372200,"[[1158707, 1187261], [1937224, 1965102], [2819131, 2900539], [4077289, 4105803]]"
04e9f7299653ef7453cbdc289670d9120c125cf4229195f73406aff9001ec1ed.npz,533912,6179240,"[[2489243, 2608744], [2709176, 2711232]]"
055d97a7d665a19ae4abd5fde47214612f06603bb283847d2a87fb3dd6346703.npz,17632,5115072,[]
0556aec82ca70fd138012a55fc3a655bbae6f3defdc1ac1be1367fbe3d16fe94.npz,3752,6329600,[]
055bb1ca61d7530a07546f467b67baedcaa05ae1661d2cb5cbcf3a90573369d7.npz,512688,6392752,"[[2919786, 2983117]]"
0556b883e1432aee03516e41bbb5052879fb8bd63a78820ad9d4a5dfd0e0b95e.npz,1007656,6350752,"[[2027459, 2069310], [2071128, 2073488], [3855248, 3856648]]"
05610097d72a3dec397db523617f973fd2c968ff1aeb551c3de1fdbfc01e3c33.npz,642920,5474944,"[[2891502, 3015831]]"
05d330e6316d3bb2aa68e4ed8ed74036b505cd0ecbedfb326c0e333d62587f7b.npz,18952,4974536,[]
05971bfebdd22600e151a6020469ea5ebe2a105c6acb99ff0264354b616c1393.npz,1683749,6701824,"[[1682750, 1746701], [1769112, 1778144], [1803664, 1805256], [2878021, 2934170], [4358783, 4434509]]"
05c69404732da6c884b1a5bc2e9e83785d7a009ec3d28208ceef5719940389ab.npz,579640,5696008,"[[1933624, 1935248], [2324917, 2402056], [4098292, 4159553], [4748119, 4752107]]"
05a652144966d33327acef0243f4d638dea9831862876ae1d12c8d768e58536a.npz,70136,5672400,[]
05a3e55b8b65408dc1a0e497d7feae0012742e7bf5f4370c7dc88207fa51dbf2.npz,1108128,6234720,"[[4973934, 5011763]]"
05ed581de6c02c8b5692be2dd88c1fb4498a403f8bbf1e24ed88a518891e2f9e.npz,8856,5273144,[]
065937bd6d4285ad430c4226cc34ccbc09dd8ac09aa47fa333909e3f8c03e774.npz,0,4513000,[]
05fcd24068b0a29048a8259c26d6b99d8a3b82299b4ddcc0270e2660af12baaf.npz,759544,5641768,"[[5176704, 5220817]]"
060ed473386c386b585d79001e722fdf99577715d45fab650840afddcdfdbfd7.npz,590854,5556048,"[[1411424, 1413480], [2166896, 2316306], [4003621, 4041178]]"
05e63493082a01ad33027270dec155c0e70935c0ff9897213434ace9cd433c40.npz,604344,6814200,"[[1869922, 1921014], [3503165, 3580268]]"
06c182a2fd63c876b9feee536b88d00389ea3cbfeef078747490375c631ee049.npz,8600,5385272,[]
06d2739797cf52efbbc8936bdd7941ae2ad625f8454574b803787498ef05bf9a.npz,9496,5153200,"[[4396847, 4465707]]"
06121c96b2cae8b11ce078934559ea5e6f7ca5488e9641db80f1060b63919515.npz,18192,5362296,"[[1806206, 1872810]]"
0603191a59486c54c79ef45e59f87102b456b51277e59de41d713f14a9a4dca9.npz,816792,6300696,"[[3516983, 3578873]]"
05f357209013012f861fbc49d7b5c58ad43c28f8d3a88cf3528c2f97c6327724.npz,414248,6446856,[]
063ef7714e846df29672450fcc3e169e32f498ff7e3667f911cde6ac0dc888eb.npz,586840,6097128,"[[2717788, 2783757], [3821611, 3854553], [5497339, 5539435], [5564512, 5565856]]"
06e0df9008c4ea3a2dd889d9507a72ad4cab76997fb6a6a6cdb8661b97f136db.npz,14728,5512816,"[[2336855, 2426131], [3874709, 3989452]]"
076de5e925446b4a0011071bcf50471496cd0818750307f606caea68b91a7ab6.npz,8256,4781232,"[[1820038, 1871442], [1932432, 1933888]]"
074f8e8bab8f9965ec06974bdd6814ac142e6b5f6881a3b1f95f3b4a5717d0e3.npz,885872,5241560,"[[1475976, 1476976]]"
063beef5ffa5abdef7f3bfd994e11164b6682fb32bb2e12438da9fdf3e121db4.npz,693192,6209624,"[[2334480, 2336072]]"
0723afb089af7b1b91ecd9bf4fec0c8e7268a72dd4f142740489f4f97544c88e.npz,1321199,5269528,"[[1320200, 1339976], [1978342, 2029555]]"
0669f214e1b1abd15caece5ad9cb74c8dc0e3b4d5f8744b557318855bb79b9f7.npz,581080,6332040,"[[2498304, 2500352], [4687014, 4784345]]"
075c02b468cf5edc1546e429d954d07e16713aed69cdfd7b0e1cf1cebae3ad72.npz,807496,5234984,"[[1383099, 1488779], [2987324, 3080928], [3088480, 3089616]]"
065249c6499e13ebb605b5c4fc627a47abdd86b9f246d3741965ba0fc6fc4d02.npz,740712,6441496,[]
05f42bad4a772a04f4f2e219adce58efebafb5e77c5d25afbfdbf2b738dacd5e.npz,548848,7019608,"[[4133603, 4210178]]"
06e80711a1a5d478781df8ac1c19231c1176ef6c693c332daec390cbe7ba4552.npz,1114430,6088608,"[[3247856, 3249448], [3335440, 3336568], [3391493, 3435881]]"
07a8c777c71e42deba30c281823af6a47c7c325818c9c74affe1d3b0b81be5ea.npz,17456,4826312,"[[2355288, 2356720], [2978925, 3033407]]"
0712ba49f7877bda9f437ccdcc5b6d538e824b7580b21ef196fb09d69d1ca36d.npz,798199,6168336,[]
0798ff16a23aee11986e6a9d003175cdd43b0aa90e068194ba3f8a5350e5594c.npz,16312,5297912,[]
07b1efc2d8bc8a439f6c04509d2e5a10ef03bb4e6d0ace295d46904ac98823e3.npz,5320,4465640,"[[2365148, 2421442]]"
07b2a079cabc62e789601e1239793e65801d60f0565dea1866700bcc63325bf1.npz,8400,4563416,"[[1386344, 1387736], [1426424, 1430608]]"
078b0d2603919978480edc9cf1970da307f52dd72e092ea2e25f481f5e2d540d.npz,969284,5630400,"[[1916187, 1951272], [2946657, 3017063]]"
07efbd16cdd8fef2dfbf6d24eac32fb653eeaa663d43edfb042ea22990f475da.npz,0,4659600,[]
07837e7cd2a35f0a6f44269ebe5106d88e0b871744f67b64598bd53e6c5d62d7.npz,867599,5897448,"[[3680717, 3724387]]"
082e5cb2a3c650179648155d447bc43cf25f25c2e884c3d8d18abaaf25724409.npz,393126,4216050,"[[1975862, 2024913]]"
07c3efbb73e2fc914ecaf295217dddadafa3ed02bb68abe577f2cf2d382b2af6.npz,548272,5963600,"[[4329270, 4349352], [4349352, 4354384], [4354384, 4378209], [4378280, 4381416], [4442729, 4462263], [4462288, 4470472], [4471696, 4474488]]"
08147ec184a6192d3695507cdd2b28918ec94368f6f4b84fbea5a18e6f3d2e4c.npz,1307032,5542408,"[[2192197, 2335020], [3466016, 3467720], [3662004, 3698520], [4662912, 4798321]]"
07e1413e13c377167e280365397203bf06ce50cc7fa9ed0c7b27b27e7d9eb475.npz,446808,6294656,"[[5612357, 5655135], [5704141, 5707240], [5734888, 5736312]]"
0839938b989f2ef50fb1b2bbb62460e64e6cf51c0d582e5f2dfc40e325868fd8.npz,13448,5333424,"[[3708760, 3709896]]"
0b51fcaba3911c612d58109d4608a0ab7a981a9dd88a77336d443b08dc0f5d83.npz,0,104600,[]
0828a4282db579f49da85591539876fd4a174311374f0ca84a6668b9a114b30f.npz,812576,5457744,"[[1752816, 1753936], [2543119, 2588645]]"
08dd27f76f060eb869de8aa32d9f3753c4c8b7cd739be992c3b469101ffab3ce.npz,0,4639400,"[[4123669, 4192967]]"
0827c54a16214e943c23062db88bf4578b01be92be6609783414b7d44cd45bcb.npz,531208,6209102,"[[3003002, 3055254]]"
08b5355d3656a22eda455fd00fd84ee4e0b176a800ea9a9a8bbd711ea24dbb72.npz,8248,5650800,[]
0877aab84efb75b8d729ab43a79bd199b202d2b7206d79313d61b3cd5d096041.npz,445208,5717584,"[[3669405, 3713432], [5117016, 5119696]]"
089bb10bd19728dfd78f07e8e2a718043f0dfa6953cd71192675f17c382fa4b1.npz,1373134,5621000,"[[2644761, 2692211], [2731960, 2732984], [4007701, 4056685]]"
09056ea115466a7d672eabfddb8f9a0a4579ae3ee81ab2080091e4a63faf1456.npz,0,5761416,[]
09b4897802d1acdd25ea7eb97e1b027caec10ee8ea9731fa8982f760ae594884.npz,11656,4440984,[]
0961fa1ebe011e52ea209379b989b9fccfe1c41f3e2afc2f70e9e0c6629c15db.npz,1234565,5468000,"[[4207831, 4359921]]"
09321f0276fc017ffd0fff98947527402f14bd5cbbd00371a60dbe6a79d4a44a.npz,27144,6005776,"[[2377761, 2441439]]"
0873dc9c919a67c510055029881c058c241620d44430292139528c74e66b667d.npz,472208,6908576,[]
0990faffe85c55ed23ef4038287530d19e1fad92fa358599593292f883603ed9.npz,800104,5412200,"[[2739064, 2743888], [4397680, 4399280]]"
092e95247865aa5425309639922005f33b4dac20a83d17333d1494509dd65fd0.npz,10376,5786952,"[[3020071, 3093592]]"
090c63ab1168a53c9ecd7404e25e8921cb8fa24fe1165247d74dae053116ccdb.npz,696400,6471168,"[[3923333, 4064702]]"
0982efd6ad2f73cb4d7f9b675eab7e0c6b08d2645416d812f1e09bd3330b8c96.npz,370516,6092800,"[[3225030, 3277757]]"
09f7aa02065325736322dd13ded62505ed2cbe44d313d6f14dac787f169615cf.npz,1004440,5565000,"[[1511440, 1514016], [1829808, 1836488]]"
09634b8bcc88e52906c547136770900ce2f8fc17f00d0cddcabf4a02155689fe.npz,1590199,6356800,"[[1589200, 1597148]]"
0a8de6c4caf098f4e87811d8e54db5e2c5ede918058524a49513622e807c9155.npz,784936,5370700,[]
09c059a75e7cec4cb879b87ec804dbe61518c159eeb3561419fcbb9cbf9b3ed6.npz,1006800,5871760,"[[3495740, 3533255]]"
0b1681fcbae699efc4a7e32e7e08b1503d38f0d5d413f81b527815f955d71138.npz,9544,4927752,[]
0a6fcd163dbeba4dd9b1228ef922403db19f319bb3b501c79589a4f34d369375.npz,332746,5566728,"[[1706072, 1707344], [2328696, 2329848], [3973943, 4026481]]"
0a37958dc3cc261ea1f675ea2ce6f197a02b04e73e8d799aa59777f40c47f9c4.npz,438588,5412151,"[[5373747, 5413149]]"
0ac155deb53e8b144b1a579a3d6389c73f98ba5dfeae6836bc59979a16f28947.npz,330944,5251000,[]
09de9045956959457fbc3dd7cc6f202ae98db0b43c055f344855000c7df9155f.npz,639552,6211400,"[[5288309, 5348212]]"
09c7b07ea852cc6f626bbab4e1ce41873db81282f56d34073fb54c55d234d161.npz,1010360,6927400,"[[2252064, 2253712], [4111590, 4196743], [4217224, 4270816], [4278304, 4331616]]"
0ab8a27cfa40952ca06d5e3a0ef45ef25c283c805a8a4c2ee3aeb8374300a9a3.npz,408080,5731792,[]
0be503ae2ba9af7a23f17c458e7c545f41101810f71716c7c9ecc1858227eed5.npz,0,3894000,[]
0b18fb7f6ba3ed1590089faf1dc304b3351fed2f10fdd66d4cd41badc5c7a345.npz,812877,5534536,[]
0aba6d3a7d9bf3c4968ac2dddc1537781494e1d31ffeb70b3c2c5be047ae3936.npz,1436831,6650543,"[[4022787, 4062855]]"
0c058d54074b66ddf0ae4345eca900dea2e55366ba5b9564620af684501c8a32.npz,468328,5294000,"[[1599590, 1651859]]"
0b6a6bc97dc13e951aa10067c0a40a98da35ff3cdd2fe5e9fad406b29d90d84c.npz,34784,5711232,"[[3156827, 3220718]]"
0c09487fcfb83fe95ce363db35ee161e4dd696d3973c25930fe4e367d3864580.npz,580720,5968224,[]
0c0f20263fd09e37bd67fa36194cfd5a6c9f5ae1d3455ecb2b80fb24dc526606.npz,979984,5732681,"[[1615016, 1616800], [4413696, 4415024], [5650985, 5733679]]"
0ba81196759ea5a6164694ccda85696c4d867ce05849090c14d028bb31a16116.npz,1017568,6272776,"[[2152346, 2203637], [2381304, 2382568], [2960184, 2962232], [3653827, 3697676], [3713048, 3714480]]"
0b2693e82b8c2911d994b98bfa491a4aba4478dca356d2a1ac461fe7805784a0.npz,1787664,7702400,[]
0b3585c2ccd627a525cd68a5d4005762a5e3363661376e9870e5fd7249965562.npz,447932,6833000,"[[4873147, 4925831]]"
0c6ada473545f954ee836aa5f3517d84c8475c1711c52895c0f0568c1eedcd9c.npz,6088,4591705,"[[2195797, 2266271]]"
0cc3817af8f12d0545d70b92cee69e2c22a98c04246b2cfc180f147a1477e939.npz,0,4455000,[]
0c7aafaf075f07f3d379e814feb997969b3ef1f13a5d42a442d351dca9520ede.npz,9872,5370344,[]
0c55497a8e508c1c7a76dc920bf4379914cd38a0103c05f573d79915a735f45a.npz,576478,5800784,"[[1517084, 1564961], [2880944, 2931846]]"
0c3758b81355351656be83d7a57e2eb02c36a7b177ed1e20445e460b0150a885.npz,427664,6253680,[]
0ca52047b0964a3a2e06113be11949c9d9208736de54e36306a63e3dba425fd8.npz,396440,4968400,"[[2146212, 2189796]]"
0c49530689b6f1e738d5bebe684139de0b0b25fa3e1a889f3ddc25c1df55e1be.npz,548165,6028505,[]
0c6c4d133a3a235f2129e834cc7dcce2b9524110f0cabe0a42fd11e59c40451e.npz,13248,5361000,"[[3151955, 3416664]]"
0b9c379e17e1e6994e32f09d5ceae9f271cbc065be0791b5c24e6f32cc7a337e.npz,13792,6740456,"[[2499416, 2500672]]"
0cc0e2aa6957b9c38f1e221d2423963a182664dad84c1baeeba9104eb8130199.npz,506544,5078096,"[[3801502, 3863455], [3877152, 3879216], [3901528, 3902664]]"
0d8f9d63b7354c7576a807970caddd2436c70f75a44f737447555593bdda45f8.npz,26992,4855136,[]
0ca6c294ef1b9c802633a5b369758cf40230294c1322f8a7bc0d8ae161c6ab33.npz,1118311,5740912,"[[1530239, 1531613], [1534824, 1535905], [2510800, 2512560], [2810096, 2811456], [3080334, 3124469], [4120776, 4123752]]"
0c4a55ddf53b0b3da4a6d2b6482106466e186f1638f757edd1194c6122a1b81a.npz,1446432,6351296,"[[3415896, 3419336]]"
0d97cfe91d781d4ea6d28265f811b4d5fc79a0ee1344748c80ca3960b8f11212.npz,22128,4776792,"[[1714980, 1764581]]"
0d82470319d1ad449388cfa525f21d0e43a29daf6c54a255c513dc543fa3fe94.npz,10424,5362000,[]
0d1768a17c8e6439c77f7c74fffd5449895f9fb31a796243830aeb586ede90d6.npz,492904,5777200,"[[1494502, 1569449], [2422104, 2423232]]"
0d5a93fa00e872a14d4e20bc637b3aaad3b832e6ab7898056efd76ba13f3cfbd.npz,15176,5342768,[]
0d3498c30d14f399bb077dd738522a9d7d2c9672635f00fe48892ff783cbf77c.npz,14808,5376448,"[[2355179, 2488047]]"
0cadd6f40e9a3ece7e2ced5e0cd27f0ac1efe2d3489c14530145c8a12d2d31fc.npz,793064,6067736,"[[2235816, 2237416], [3437120, 3438552], [3568301, 3571396], [3576586, 3579684], [3580909, 3585511], [3588269, 3591393], [3741816, 3802629], [3978920, 3980976]]"
0ddb7c90e691f78f19f52899ccad853333dda14ec0ebbbcce5f1e6a8be2f7536.npz,6664,6073824,[]
0e366eb85c6b6bb5ffd1e3d55a91d9695b5bc78c23c778a9bee97c672c0e7ab4.npz,690232,5505256,"[[1598793, 1649571], [2248655, 2296417], [3654019, 3710191]]"
0c99564c42741961bf6fe8b748b8a753dae65c40e1833c8981e310a3fae5cebe.npz,1806499,7159704,"[[1805500, 2123809], [2168096, 2173544], [2598189, 2599752], [3652025, 3653282], [3700313, 3701764], [3741282, 3742367], [3756819, 3758158], [4991939, 5037951]]"
0c8ca45243584d215773d6c7bb4ef2e9a92f683892421b01b0628536d597dc06.npz,1565928,7007656,"[[2250640, 2253024], [2298304, 2302736], [2304047, 2309688], [2459656, 2467720], [3709344, 3710592], [3736280, 3799455], [4162592, 4164320]]"
0e6eab73d8c00c527fb61b3a3e28122e66abb63e2061f89b97d5f2a14e58af6c.npz,1253592,5424560,"[[2255280, 2345528]]"
0e09f4a4e8da316e8bcd54aeb438ad3874f331991696e45a4c31a6130b8b56ae.npz,587408,6693600,[]
0e9d426a46876c5334a04c10c24eea8d07d3ad00b55560393a808ee51ad144ed.npz,0,4332752,[]
0e5e21914889ba0bc528b7fcea3d78024a91762ebfc9b720ebffb7b57b70c072.npz,2968,6676600,[]
0e8c0098f8b2ccdd4525d1aedbdb9967fb83c4bc7861eeaf431bfc93d3e847e9.npz,0,5747000,"[[3178537, 3256379]]"
0e6373a9e5494902e55000650a08f4dfe77fc0d6d122a6f1474ba8267995bd69.npz,465304,6633880,[]
0e7eca7d3009cd2404bf43e571735b8eaced79bc532553327011c188e0c372a6.npz,1296124,5766422,"[[2925272, 2930556], [2940391, 2944189], [3411095, 3414624], [3684108, 3686312], [3758299, 3759450], [4102071, 4104595], [4335291, 4337465], [4429879, 4434017]]"
0ef4d6e6ca051146b0a08a48e7d33f924242f266200ed7c0633f38cd029cbaea.npz,1057536,4449231,"[[1880927, 1983000], [1988128, 1989600], [2057280, 2058448], [2580268, 2583551], [2591343, 2598449], [2774578, 2784216], [3139519, 3142692], [3184585, 3194211], [3376416, 3379624], [3393807, 3398892], [3577640, 3636207], [4031818, 4450229]]"
0e798abf7865b42ef0a7daba111b318e49413766388cdcad6c302b3fbc05c2f3.npz,11488,6883736,[]
0eef649ef4b3d80432e9e91611c85feb415f72f816c2c81381a17ea8ee2291fe.npz,11128,5134400,[]
0edc1899dfcc9683641d5c3c352b53cc9c1fbe99cb9f9a6d9843de69147d0e2d.npz,1253354,5056952,"[[1998968, 2030958], [4355316, 4431186], [4431410, 4467833]]"
0e9953a6f99774b3b54c32c132c63793381031268f8a4e30c485d4128f4fd6d7.npz,1363826,6513808,"[[1763728, 1767528]]"
0e8d0c8d9e82b11a678ff0c743eba120fe4136f3724c5ee9e6c3ea5438ecb0d6.npz,802016,6366200,[]
0e7fa0e172d20976df46d35229863dd0a976078a94d4d41972fa8bc703c6fd41.npz,15008,6260881,"[[5452717, 6261879]]"
0eb30f61e6b4db355e57245d823a59dc2a1c28f4863b25fb01c25fde0a4c8413.npz,1258688,5990136,"[[3575144, 3576272], [3618040, 3619344], [3676888, 3678176], [3682432, 3683624], [3690648, 3691896], [3748848, 3749976], [4225232, 4226472], [5579952, 5581808], [5585216, 5587296]]"
0f492edcdb755d94dc7ee2e5f6d6f9a457ee2346f99e65018b86dbb09ff5c9f9.npz,395152,4968881,"[[4899289, 4969879]]"
0f67e4cb73b3baeb03b775d47192bad439e33e2e2202850e461bbf42f4c63c55.npz,595960,5428000,[]
0ed7a7409b4c86138c8fc7c8152cb08b7addf2801527dacdf699e98cbd20f83b.npz,458456,6330600,"[[3622919, 3629915]]"
0ea162f51b03d619a14d0d04126c9607344d600c2a7639e3c588cc1d93395c7f.npz,538304,6729936,"[[1843192, 1844336], [5992496, 5994328]]"
0f4b05f3e8e0a0abd4417db5f84ef7b81e4702436e225ee553622f1ac9bf5286.npz,14760,5824464,"[[2576501, 2619679]]"
0eb8adbd67b29dc20c4a3cadfaf38d183e8828f867a9deeb16d3b1f3c566b6e2.npz,628312,5893320,"[[4068499, 4117330]]"
0f77304a07430ccc50ad37db3c8bd6a82ec6dea45f811f5298d83d421f11034d.npz,1326160,6238800,[]
0f3e722436b4ce49826d8b08870d7dc0048641b4c85d7629c2c981550a884012.npz,1496257,6057624,"[[1774944, 1777952], [1790040, 1795056], [2053352, 2055408], [2357230, 2399067], [2595064, 2596064]]"
0f39a4ce09b6ba7abaca66c772ee79a88199fa69359e67177acf0c5891cefbcf.npz,65888,6355704,[]
0f952f689ca1487bea7cc553bfb17c3dbd3d5a31bdf270369e6d260ebdde6a95.npz,464048,5989256,"[[3971328, 3972920]]"
0eaa20af28608ed0fecccf364da371b7c4768b02b9c3cbb40bd212a678c1bfb0.npz,944066,7091800,[]
0fe61869628902d612274120c277b8949c15ce8df896e7a76967b24de3f27d28.npz,427392,5256952,"[[1653127, 1695421]]"
0fd0b5ab6b19eaa695dc70caa72bdc9c4a1a41f2ce471c7b27c11c35cea25630.npz,1084640,5461192,[]
0fe760f9c8723cc964b1601b4bcfe1fa52f3c496d57b690022411bd3af141158.npz,542216,5740552,"[[4344310, 4392092]]"
0fb8a46b9af9aa366b273ab269699d4d7e3ad3d216d6dd16c011574b314b29dc.npz,230712,5505384,[]
0fb51db64d3f435e6abeebe38ca719a853f00c01471e568ff915e06062758372.npz,979104,7492400,[]
100a9e20a7e4da64b45f7cefdea188930b7a9385cf9cdd9ab0267f049db64db1.npz,8936,4769360,"[[4284488, 4344098]]"
0ff38ea9ade87cebf244459ce0e946717ab8989f348b96e94651c1715f530785.npz,777984,5625824,[]
0ffbc3237ce9f63d26f7efac375a51d91bc7b5bb3edc78fb1c92f89f6e793fc5.npz,569280,5053944,"[[4588217, 4650465]]"
0fef94a37fa263ad47bc5e1aeeb5752d391f675ca87d68627f50fa76d6d2b369.npz,428616,6382400,[]
10112d340580fa7b11917a457586fafd33932b8df0cc4d277161f61c37a8318a.npz,727304,5267640,"[[1927618, 1982996]]"
